,Depth,Sv
71,1287.1063676767676,2217.0662577069384
72,1314.3742020202021,2278.624521957935
73,1341.6420363636364,2340.8342295548587
74,1368.9098707070707,2403.6953804977097
75,1396.1777050505052,2467.207974786489
76,1423.4455393939395,2531.3720124211954
77,1450.7133737373738,2596.187493401829
78,1477.981208080808,2661.654417728391
79,1505.2490424242424,2727.77278540088
80,1532.5168767676769,2794.5425964192973
81,1559.7847111111112,2861.9638507836416
82,1587.0525454545455,2930.036548493914
83,1614.32037979798,2998.760689550114
84,1641.5882141414143,3068.136273952241
85,1668.8560484848485,3138.163301700296
86,1696.1238828282828,3208.8417727942783
87,1723.3917171717171,3280.1716872341885
88,1750.6595515151516,3352.1530450200266
89,1777.927385858586,3424.7858461517917
90,1805.1952202020202,3498.0700906294846
91,1832.4630545454547,3572.005778453106
92,1859.730888888889,3646.592909622654
93,1886.9987232323233,3721.83148413813
94,1914.2665575757576,3797.7215019995333
95,1941.5343919191919,3874.2629632068642
96,1968.8022262626264,3951.4558677601235
97,1996.0700606060607,4029.3002156593097
98,2023.337894949495,4107.796006904424
99,2050.6057292929295,4186.943241495466
100,2077.8735636363635,4266.741919432435
101,2105.141397979798,4347.192040715332
102,2132.4092323232326,4428.293605344157
103,2159.6770666666666,4510.046613318908
104,2186.944901010101,4592.451064639588
105,2214.212735353535,4675.506959306194
106,2241.4805696969697,4759.21429731873
107,2268.7484040404042,4843.573078677193
108,2296.0162383838388,4928.583303381583
109,2323.284072727273,5014.2449714319
110,2350.551907070707,5100.5580828281445
111,2377.8197414141414,5187.522637570318
112,2405.087575757576,5275.138635658419
113,2432.3554101010104,5363.406077092448
114,2459.6232444444445,5452.324961872403
115,2486.891078787879,5541.895289998287
116,2514.158913131313,5632.117061470097
117,2541.4267474747476,5722.9902762878355
118,2568.694581818182,5814.514934451502
119,2595.962416161616,5906.691035961095
120,2623.2302505050507,5999.518580816617
121,2650.4980848484847,6092.997569018065
122,2677.7659191919192,6187.128000565443
123,2705.0337535353538,6281.909875458748
124,2732.301587878788,6377.343193697979
125,2759.5694222222223,6473.4279552831385
126,2786.837256565657,6570.164160214226
127,2814.105090909091,6667.55180849124
