,Depth,Sv
71,1304.4368202020203,2241.422712119744
72,1332.2143737373738,2303.6892081921137
73,1359.9919272727275,2366.606682782704
74,1387.769480808081,2430.1751358915135
75,1415.5470343434345,2494.3945675185428
76,1443.324587878788,2559.264977663792
77,1471.1021414141414,2624.786366327261
78,1498.879694949495,2690.95873350895
79,1526.6572484848487,2757.7820792088596
80,1554.4348020202021,2825.2564034269885
81,1582.2123555555556,2893.381706163337
82,1609.9899090909091,2962.1579874179056
83,1637.7674626262626,3031.5852471906937
84,1665.5450161616163,3101.6634854817025
85,1693.3225696969698,3172.3927022909306
86,1721.1001232323233,3243.7728976183785
87,1748.8776767676768,3315.8040714640465
88,1776.6552303030303,3388.4862238279343
89,1804.432783838384,3461.8193547100427
90,1832.2103373737375,3535.8034641103704
91,1859.987890909091,3610.438552028918
92,1887.7654444444445,3685.724618465685
93,1915.542997979798,3761.661663420672
94,1943.3205515151517,3838.2496868938797
95,1971.0981050505052,3915.4886888853066
96,1998.8756585858587,3993.3786693949532
97,2026.6532121212122,4071.91962842282
98,2054.4307656565657,4151.111565968907
99,2082.208319191919,4230.954482033213
100,2109.985872727273,4311.448376615741
101,2137.763426262626,4392.593249716486
102,2165.54097979798,4474.389101335453
103,2193.318533333333,4556.835931472638
104,2221.096086868687,4639.9337401280445
105,2248.8736404040405,4723.68252730167
106,2276.651193939394,4808.082292993516
107,2304.4287474747475,4893.133037203581
108,2332.206301010101,4978.834759931866
109,2359.983854545455,5065.187461178372
110,2387.761408080808,5152.191140943096
111,2415.538961616162,5239.845799226043
112,2443.3165151515154,5328.151436027208
113,2471.094068686869,5417.108051346592
114,2498.8716222222224,5506.715645184197
115,2526.649175757576,5596.9742175400215
116,2554.4267292929294,5687.883768414066
117,2582.204282828283,5779.444297806331
118,2609.9818363636364,5871.655805716815
119,2637.75938989899,5964.518292145519
120,2665.5369434343434,6058.031757092443
121,2693.3144969696973,6152.196200557588
122,2721.092050505051,6247.011622540952
123,2748.8696040404043,6342.478023042536
124,2776.647157575758,6438.595402062339
125,2804.4247111111113,6535.363759600363
126,2832.2022646464648,6632.783095656606
127,2859.9798181818182,6730.853410231069
128,2887.7573717171717,6829.574703323751
129,2915.534925252525,6928.9469749346545
130,2943.3124787878787,7028.970225063777
131,2971.0900323232327,7129.644453711122
132,2998.867585858586,7230.969660876684
133,3026.6451393939396,7332.945846560467
134,3054.422692929293,7435.573010762469
135,3082.2002464646466,7538.851153482691
136,3109.9778,7642.7802747211335
137,3109.9778,7642.7802747211335
138,3110.1028,7643.257003024093
139,3110.2278,7643.741726546803
140,3110.3528,7644.226538905288
141,3110.4778,7644.705114992368
142,3110.6028,7645.187937429493
143,3110.7278,7645.678559647663
144,3110.8528,7646.176128823438
145,3110.9778,7646.676860552803
146,3111.1028,7647.1757089637385
147,3111.2278,7647.667681485688
148,3111.3528,7648.1501130454035
149,3111.4778,7648.625793086218
150,3111.6028,7649.097990764653
151,3111.7278,7649.569477756889
152,3111.8528,7650.043754192458
153,3111.9778,7650.520482495418
154,3112.1028,7650.999609364303
155,3112.2278,7651.480370811448
156,3112.3528,7651.962837905473
157,3112.4778,7652.4485030873975
158,3112.6028,7652.936922178347
159,3112.7278,7653.425003693353
160,3112.8528,7653.914115703347
161,3112.9778,7654.401166723363
162,3113.1028,7654.881483991632
163,3113.2278,7655.356382277627
164,3113.3528,7655.834940597551
165,3113.4778,7656.316288360811
166,3113.6028,7656.799732648361
167,3113.7278,7657.282590619796
168,3113.8528,7657.760971268171
169,3113.9778,7658.238072681385
170,3114.1028,7658.71378825651
171,3114.2278,7659.189397228705
172,3114.3528,7659.675097944941
173,3114.4778,7660.176860169296
174,3114.6028,7660.679777258726
175,3114.7278,7661.168764898636
176,3114.8528,7661.653666092896
177,3114.9778,7662.132117809891
178,3115.1028,7662.604510927031
179,3115.2278,7663.077223852961
180,3115.3528,7663.55270845507
181,3115.4778,7664.049424807406
182,3115.6028,7664.573982291626
183,3115.7278,7665.11866996246
184,3115.8528,7665.661545383486
185,3115.9778,7666.172475459821
186,3116.1028,7666.670399978696
