,Depth,Sv
71,1309.0595151515151,2194.353260409285
72,1336.9730303030303,2253.657713115898
73,1364.8865454545455,2313.5229930420323
74,1392.8000606060607,2373.9491001876886
75,1420.7135757575759,2434.936034552867
76,1448.627090909091,2496.4837961375674
77,1476.540606060606,2558.592384941789
78,1504.4541212121212,2621.261800965533
79,1532.3676363636364,2684.492044208799
80,1560.2811515151516,2748.283114671587
81,1588.1946666666668,2812.635012353897
82,1616.108181818182,2877.5477372557284
83,1644.0216969696971,2943.021289377082
84,1671.935212121212,3009.0556687179574
85,1699.8487272727273,3075.6508752783548
86,1727.7622424242425,3142.806909058274
87,1755.6757575757576,3210.5237700577154
88,1783.5892727272728,3278.8014582766787
89,1811.502787878788,3347.6399737151637
90,1839.4163030303032,3417.0393163731705
91,1867.3298181818182,3486.9994862506987
92,1895.2433333333333,3557.5204833477496
93,1923.1568484848485,3628.6023076643223
94,1951.0703636363637,3700.2449592004173
95,1978.983878787879,3772.448437956034
96,2006.897393939394,3845.2127439311726
97,2034.8109090909093,3918.537877125833
98,2062.724424242424,3992.423837540014
99,2090.6379393939396,4066.8706251737194
100,2118.5514545454544,4141.878240026945
101,2146.46496969697,4217.446682099694
102,2174.3784848484847,4293.575951391963
103,2202.2920000000004,4370.266047903756
104,2230.205515151515,4447.516971635068
105,2258.1190303030303,4525.328722585904
106,2286.0325454545455,4603.701300756262
107,2313.9460606060607,4682.634706146141
108,2341.859575757576,4762.128938755543
109,2369.773090909091,4842.183998584466
110,2397.686606060606,4922.799885632911
111,2425.6001212121214,5003.976599900879
112,2453.5136363636366,5085.714141388368
113,2481.4271515151518,5168.012510095379
114,2509.340666666667,5250.871706021912
115,2537.254181818182,5334.291729167967
116,2565.167696969697,5418.272579533543
117,2593.081212121212,5502.814257118642
118,2620.9947272727272,5587.916761923262
119,2648.9082424242424,5673.580093947405
120,2676.8217575757576,5759.80425319107
121,2704.735272727273,5846.589239654256
122,2732.648787878788,5933.935053336964
123,2760.562303030303,6021.841694239195
124,2788.4758181818183,6110.309162360947
125,2816.3893333333335,6199.337457702221
126,2844.3028484848487,6288.926580263017
127,2872.216363636364,6379.076530043335
128,2900.129878787879,6469.787307043175
129,2928.0433939393943,6561.058911262537
130,2955.956909090909,6652.891342701419
131,2983.870424242424,6745.284601359825
132,3011.7839393939394,6838.238687237752
133,3039.6974545454545,6931.753600335202
134,3067.6109696969697,7025.8293406521725
135,3095.524484848485,7120.465908188666
136,3123.438,7215.663302944681
137,3123.438,7215.663302944681
138,3123.563,7216.088222223661
139,3123.688,7216.514935985297
140,3123.813,7216.942076158652
141,3123.938,7217.367635055211
142,3124.063,7217.790617714297
143,3124.188,7218.2074174034415
144,3124.313,7218.623044460356
145,3124.438,7219.035580032301
146,3124.563,7219.444224597301
147,3124.688,7219.849546704317
148,3124.813,7220.252345875322
149,3124.938,7220.654434360127
150,3125.063,7221.057784312937
151,3125.188,7221.462733309697
152,3125.313,7221.869494556267
153,3125.438,7222.278920876087
154,3125.563,7222.692522477332
155,3125.688,7223.112111609812
156,3125.813,7223.541828020642
157,3125.938,7223.981103160862
158,3126.063,7224.431802581747
159,3126.188,7224.903946958718
160,3126.313,7225.378614271698
161,3126.438,7225.850847484443
162,3126.563,7226.317270837503
163,3126.688,7226.773904488158
164,3126.813,7227.2171417039435
165,3126.938,7227.6477642396785
166,3127.063,7228.075863839404
167,3127.188,7228.5036969318035
168,3127.313,7228.931814298683
169,3127.438,7229.359345349448
170,3127.563,7229.7843534642025
171,3127.688,7230.206199025368
172,3127.813,7230.623762702177
173,3127.938,7231.038696840047
174,3128.063,7231.452866990252
175,3128.188,7231.867374716402
176,3128.313,7232.282060114102
177,3128.438,7232.695466276642
178,3128.563,7233.106136297312
179,3128.688,7233.515118438258
180,3128.813,7233.924740196782
181,3128.938,7234.337560043207
182,3129.063,7234.755941009147
183,3129.188,7235.180700383732
184,3129.313,7235.612460017387
185,3129.438,7236.050669128307
186,3129.563,7236.492023025662
187,3129.688,7236.928881832802
188,3129.813,7237.355862101762
189,3129.938,7237.776837072332
